BJ-OY-ctrl-000006:1	OY03_08252:10-160
BJ-OY-ctrl-001298:1	OY14_21611:790-920
BJ-OY-ctrl-001299:1	OY15_04620:1680-1910
BJ-OY-ctrl-001304:1	OY15_00947:600-1500
BJ-OY-ctrl-001305:1	OY13_01607:1940-2050
BJ-OY-ctrl-001311:1	OY03_05761:200-370
BJ-OY-ctrl-001312:1	OY14_26220:5450-5620
BJ-OY-ctrl-001324:1	OY05_06887:1430-1470
BJ-OY-ctrl-001328:1	OY14_50681:10250-10390
BJ-OY-ctrl-001329:1	OY04_08047:5250-5380
BJ-OY-ctrl-001334:1	OY04_06085:1670-1720
BJ-OY-ctrl-001339:1	OY15_17535:2600-2840
BJ-OY-ctrl-001346:1	OY15_16242:800-960
BJ-OY-ctrl-001361:1	OY03_04753:10-310
BJ-OY-ctrl-001364:1	OY13_05569:2250-2440
BJ-OY-ctrl-001368:1	OY14_50128:410-940
BJ-OY-ctrl-001373:1	OY08_01514:180-230
BJ-OY-ctrl-001375:1	OY11_02436:10-120
BJ-OY-ctrl-001379:1	OY03_01966:2330-2440
BJ-OY-ctrl-001384:1	OY15_17393:10-150
BJ-OY-ctrl-001388:1	OY14_17156:760-940
BJ-OY-ctrl-001393:1	OY13_04837:7150-7340
BJ-OY-ctrl-001395:1	OY14_00573:2470-2640
BJ-OY-ctrl-001408:1	OY14_12295:370-500
BJ-OY-ctrl-001414:1	OY03_00062:3400-3520
BJ-OY-ctrl-001417:1	OY03_09154:20-300
BJ-OY-ctrl-001418:1	OY14_43228:6430-6540
BJ-OY-ctrl-001422:1	OY15_00855:880-990
BJ-OY-ctrl-001423:1	OY15_18701:10730-10920
BJ-OY-ctrl-001425:1	OY15_13891:80-130
BJ-OY-ctrl-001437:1	OY11_07563:3010-3120
BJ-OY-ctrl-001441:1	OY14_17832:1110-1180
BJ-OY-ctrl-001456:1	OY03_05197:2330-2400
BJ-OY-ctrl-001458:1	OY04_06866:20580-20710
BJ-OY-ctrl-001463:1	OY14_09479:700-770
BJ-OY-ctrl-001475:1	OY14_50375:3010-3120
BJ-OY-ctrl-001497:1	OY04_06370:610-650
BJ-OY-ctrl-001498:1	OY14_29533:3220-3420
BJ-OY-ctrl-001523:1	OY14_48250:3830-3960
BJ-OY-ctrl-001524:1	OY14_43291:890-1030
BJ-OY-ctrl-001534:1	OY13_00170:10-530
BJ-OY-ctrl-001540:1	OY05_00015:10-150
BJ-OY-ctrl-001541:1	OY03_09230:1620-1830
BJ-OY-ctrl-001563:1	OY14_02078:9760-9930
BJ-OY-ctrl-001582:1	OY14_51799:3530-3670
BJ-OY-ctrl-001613:1	OY06_01495:5940-5990
BJ-OY-ctrl-001614:1	OY11_02046:1590-2070
BJ-OY-ctrl-001617:1	OY14_46160:150-270
BJ-OY-ctrl-001620:1	OY03_10353:1260-1310
BJ-OY-ctrl-001629:1	OY07_00067:990-1110
BJ-OY-ctrl-001640:1	OY14_31115:2330-2460
BJ-OY-ctrl-001645:1	OY03_07591:450-610
BJ-OY-ctrl-001650:1	OY11_01817:10-100
BJ-OY-ctrl-001673:1	OY13_05636:1670-1760
BJ-OY-ctrl-001677:1	OY14_48180:4010-4180
BJ-OY-ctrl-001687:1	OY04_07664:340-440
BJ-OY-ctrl-001694:1	OY14_31770:740-920
BJ-OY-ctrl-001702:1	OY14_09992:10-80
BJ-OY-ctrl-001715:1	OY15_09555:1740-1840
BJ-OY-ctrl-001720:1	OY14_08787:3350-3500
BJ-OY-ctrl-001728:1	OY04_06382:4710-4860
BJ-OY-ctrl-001733:1	OY03_04082:4800-4840
BJ-OY-ctrl-001736:1	OY14_27569:1690-1800
BJ-OY-ctrl-001753:1	OY14_37837:7170-7290
BJ-OY-ctrl-001759:1	OY03_08165:12310-12590
BJ-OY-ctrl-001761:1	OY14_32702:120-200
BJ-OY-ctrl-001765:1	OY05_00900:90-220
BJ-OY-ctrl-001788:1	OY15_10485:110-190
BJ-OY-ctrl-001792:1	OY14_46953:260-350
BJ-OY-ctrl-001793:1	OY03_07895:10-180
BJ-OY-ctrl-001798:1	OY14_48539:5830-6160
BJ-OY-ctrl-001801:1	OY14_04509:2530-2830
BJ-OY-ctrl-001808:1	OY03_05899:1180-1340
BJ-OY-ctrl-001809:1	OY04_04077:2400-2580
BJ-OY-ctrl-001815:1	OY05_02876:310-470
BJ-OY-ctrl-001822:1	OY14_40112:2790-2920
BJ-OY-ctrl-001833:1	OY15_00634:14890-15040
BJ-OY-ctrl-001840:1	OY05_00844:10-220
BJ-OY-ctrl-001841:1	OY15_13080:1320-1630
BJ-OY-ctrl-001843:1	OY04_08529:960-1230
BJ-OY-ctrl-001850:1	OY14_00422:3810-3980
BJ-OY-ctrl-001851:1	OY07_00966:10-210
BJ-OY-ctrl-001858:1	OY14_39505:550-610
BJ-OY-ctrl-001871:1	OY14_15686:3760-3840
BJ-OY-ctrl-001879:1	OY04_06950:3960-4050
BJ-OY-ctrl-001888:1	OY03_11399:520-620
BJ-OY-ctrl-001904:1	OY14_17724:1730-1950
BJ-OY-ctrl-001909:1	OY07_01566:640-930
BJ-OY-ctrl-001914:1	OY14_50021:700-750
BJ-OY-ctrl-001922:1	OY04_08911:7680-7770
BJ-OY-ctrl-001926:1	OY05_04084:740-870
BJ-OY-ctrl-001934:1	OY14_06413:5210-5340
BJ-OY-ctrl-001941:1	OY05_02032:4230-4330
BJ-OY-ctrl-001942:1	OY14_50039:210-260
BJ-OY-ctrl-001945:1	OY03_06536:4370-4530
BJ-OY-ctrl-001969:1	OY14_34321:2430-2590
BJ-OY-ctrl-001978:1	OY03_06398:4400-4570
BJ-OY-ctrl-001984:1	OY14_06079:1540-1650
BJ-OY-ctrl-001987:1	OY14_36365:5170-5320
BJ-OY-ctrl-001988:1	OY15_20306:790-940
BJ-OY-ctrl-001998:1	OY14_17867:2270-2510
BJ-OY-ctrl-002005:1	OY14_10458:10-320
BJ-OY-ctrl-002007:1	OY01_03171:1030-1230
BJ-OY-ctrl-002020:1	OY04_05896:10-780
BJ-OY-ctrl-002025:1	OY14_00369:1860-2040
BJ-OY-ctrl-002040:1	OY03_05940:3490-3780
BJ-OY-ctrl-002050:1	OY14_38131:2730-2940
BJ-OY-ctrl-002077:1	OY09_00941:10-90
BJ-OY-ctrl-002080:1	OY14_37822:110-180
BJ-OY-ctrl-002084:1	OY04_04722:8130-8320
BJ-OY-ctrl-002128:1	OY05_05265:1530-1850
BJ-OY-ctrl-002132:1	OY14_21469:590-750
BJ-OY-ctrl-002133:1	OY14_46000:2910-3470
BJ-OY-ctrl-002140:1	OY11_03818:2290-2550
BJ-OY-ctrl-002147:1	OY04_03241:810-920
BJ-OY-ctrl-002148:1	OY04_05609:2810-2910
BJ-OY-ctrl-002152:1	OY15_13279:1350-1710
BJ-OY-ctrl-002157:1	OY01_01582:470-560
BJ-OY-ctrl-002167:1	OY14_38624:40-80
BJ-OY-ctrl-002192:1	OY05_01602:3840-4020
BJ-OY-ctrl-002199:1	OY05_00960:450-540
BJ-OY-ctrl-002219:1	OY03_08110:520-770
BJ-OY-ctrl-002238:1	OY05_01168:170-260
BJ-OY-ctrl-002249:1	OY15_09577:1920-2300
BJ-OY-ctrl-002254:1	OY15_05442:190-570
BJ-OY-ctrl-002257:1	OY04_01189:5720-5780
BJ-OY-ctrl-002267:1	OY05_06191:3530-4290
BJ-OY-ctrl-002268:1	OY03_05982:560-620
BJ-OY-ctrl-002270:1	OY14_52708:8960-9060
BJ-OY-ctrl-002282:1	OY14_39086:10-120
BJ-OY-ctrl-002283:1	OY03_09105:26560-26750
BJ-OY-ctrl-002284:1	OY14_53217:490-730
BJ-OY-ctrl-002290:1	OY13_01035:940-1040
BJ-OY-ctrl-002294:1	OY14_04353:270-300
BJ-OY-ctrl-002309:1	OY04_07099:1430-1640
BJ-OY-ctrl-002316:1	OY14_33739:2380-2500
BJ-OY-ctrl-002327:1	OY04_06821:620-680
BJ-OY-ctrl-002347:1	OY01_03171:220-310
BJ-OY-ctrl-002355:1	OY03_05310:2770-3000
BJ-OY-ctrl-002380:1	OY14_09792:590-680
BJ-OY-ctrl-002382:1	OY11_06800:2010-2340
BJ-OY-ctrl-002386:1	OY05_07122:4680-4790
BJ-OY-ctrl-002392:1	OY14_02550:680-750
BJ-OY-ctrl-002398:1	OY03_12208:1730-1970
BJ-OY-ctrl-002417:1	OY15_20988:790-1000
BJ-OY-ctrl-002442:1	OY14_26988:140-360
BJ-OY-ctrl-002443:1	OY14_34398:220-320
BJ-OY-ctrl-002452:1	OY15_00777:1460-1730
BJ-OY-ctrl-002475:1	OY04_01857:16150-16300
BJ-OY-ctrl-002504:1	OY03_04622:2030-2120
BJ-OY-ctrl-002508:1	OY03_09077:1850-1990
BJ-OY-ctrl-002517:1	OY04_02826:790-1820
BJ-OY-ctrl-002521:1	OY14_29753:7920-8370
BJ-OY-ctrl-002522:1	OY14_47969:3300-3400
BJ-OY-ctrl-002523:1	OY04_05803:4400-4480
BJ-OY-ctrl-002528:1	OY14_08042:1400-1460
BJ-OY-ctrl-002537:1	OY03_02499:2140-2220
BJ-OY-ctrl-002538:1	OY15_09258:5750-6090
BJ-OY-ctrl-002542:1	OY14_26792:80-160
BJ-OY-ctrl-002547:1	OY14_50109:1730-1830
BJ-OY-ctrl-002548:1	OY14_18694:330-550
BJ-OY-ctrl-002556:1	OY14_49510:1000-1100
BJ-OY-ctrl-002560:1	OY14_53040:2030-2390
BJ-OY-ctrl-002564:1	OY05_04484:1740-1810
BJ-OY-ctrl-002574:1	OY03_05547:1260-1340
BJ-OY-ctrl-002582:1	OY14_42633:3620-3730
BJ-OY-ctrl-002585:1	OY04_07930:160-210
BJ-OY-ctrl-002586:1	OY14_09457:240-460
BJ-OY-ctrl-002613:1	OY07_02274:1980-2390
BJ-OY-ctrl-002625:1	OY04_08787:10-490
BJ-OY-ctrl-002636:1	OY14_43455:780-920
BJ-OY-ctrl-002650:1	OY14_22773:50-180
BJ-OY-ctrl-002653:1	OY14_33754:1510-1670
BJ-OY-ctrl-002663:1	OY14_29477:130-220
BJ-OY-ctrl-002665:1	OY04_06938:2390-2520
BJ-OY-ctrl-002670:1	OY14_29642:9390-9810
BJ-OY-ctrl-002678:1	OY14_21078:1110-1300
BJ-OY-ctrl-002690:1	OY04_06331:10-140
BJ-OY-ctrl-002697:1	OY04_01591:340-470
BJ-OY-ctrl-002701:1	OY04_03184:4320-4520
BJ-OY-ctrl-002718:1	OY05_06106:170-330
BJ-OY-ctrl-002768:1	OY04_01620:1060-1110
BJ-OY-ctrl-002788:1	OY03_04281:1040-1470
BJ-OY-ctrl-002793:1	OY04_06380:70-350
BJ-OY-ctrl-002794:1	OY05_00960:2270-2610
BJ-OY-ctrl-002812:1	OY14_33600:2310-2490
BJ-OY-ctrl-002815:1	OY15_06640:6550-6790
BJ-OY-ctrl-002816:1	OY14_07836:5000-5040
BJ-OY-ctrl-002820:1	OY11_08514:1290-1480
BJ-OY-ctrl-002822:1	OY15_22046:10-80
BJ-OY-ctrl-002824:1	OY04_08629:1900-1990
BJ-OY-ctrl-002832:1	OY07_02851:2940-3140
BJ-OY-ctrl-002835:1	OY14_25470:1030-1140
BJ-OY-ctrl-002838:1	OY11_08407:10-70
BJ-OY-ctrl-002843:1	OY04_03382:7340-7430
BJ-OY-ctrl-002846:1	OY14_25893:280-590
BJ-OY-ctrl-002848:1	OY07_02140:1880-2080
BJ-OY-ctrl-002873:1	OY05_05833:10-140
BJ-OY-ctrl-002883:1	OY15_21372:2110-2270
BJ-OY-ctrl-002892:1	OY14_49434:950-1170
BJ-OY-ctrl-002906:1	OY07_01319:940-1200
BJ-OY-ctrl-002916:1	OY13_03077:1690-1860
BJ-OY-ctrl-002918:1	OY14_22760:10-90
BJ-OY-ctrl-002938:1	OY14_32066:3040-3160
BJ-OY-ctrl-002941:1	OY13_00155:1060-1200
BJ-OY-ctrl-002945:1	OY03_07340:4110-4220
BJ-OY-ctrl-002948:1	OY05_05018:8590-9080
BJ-OY-ctrl-002955:1	OY14_18606:3000-3110
BJ-OY-ctrl-002966:1	OY13_05558:2580-2850
BJ-OY-ctrl-002974:1	OY04_05915:1770-1850
BJ-OY-ctrl-002978:1	OY14_05719:12650-12970
BJ-OY-ctrl-002983:1	OY15_09646:1720-1880
BJ-OY-ctrl-002991:1	OY04_07058:1360-1730
BJ-OY-ctrl-002992:1	OY09_00976:1710-1800
BJ-OY-ctrl-003026:1	OY15_20322:5570-5740
BJ-OY-ctrl-003031:1	OY07_00252:380-630
BJ-OY-ctrl-003032:1	OY04_03750:10-160
BJ-OY-ctrl-003044:1	OY15_07934:840-1530
BJ-OY-ctrl-003048:1	OY15_05669:7270-7430
BJ-OY-ctrl-003059:1	OY14_33016:10-100
BJ-OY-ctrl-003094:1	OY14_16917:2080-2220
BJ-OY-ctrl-003099:1	OY05_02616:1290-1520
BJ-OY-ctrl-003114:1	OY14_30632:1310-1400
BJ-OY-ctrl-003120:1	OY13_02340:6400-6570
BJ-OY-ctrl-003130:1	OY14_45836:210-430
BJ-OY-ctrl-003133:1	OY14_01283:2000-2080
BJ-OY-ctrl-003140:1	OY03_01838:300-650
BJ-OY-ctrl-003144:1	OY04_03168:6960-7190
BJ-OY-ctrl-003157:1	OY04_03509:420-680
BJ-OY-ctrl-003165:1	OY05_00638:1160-1250
BJ-OY-ctrl-003167:1	OY08_01094:1330-1360
BJ-OY-ctrl-003182:1	OY04_06420:4170-4350
BJ-OY-ctrl-003185:1	OY03_05916:1750-1860
BJ-OY-ctrl-003188:1	OY15_20556:1400-1500
BJ-OY-ctrl-003193:1	OY03_07932:2440-2630
BJ-OY-ctrl-003201:1	OY04_06585:3280-3470
BJ-OY-ctrl-003226:1	OY14_44191:2940-3290
BJ-OY-ctrl-003230:1	OY14_24850:1370-1470
BJ-OY-ctrl-003235:1	OY03_06282:160-380
BJ-OY-ctrl-003249:1	OY10_00252:2530-2680
BJ-OY-ctrl-003253:1	OY04_00609:10-190
BJ-OY-ctrl-003254:1	OY15_12294:80-380
BJ-OY-ctrl-003262:1	OY15_00060:3170-3530
BJ-OY-ctrl-003263:1	OY05_05072:180-230
BJ-OY-ctrl-003287:1	OY14_17832:2860-2960
BJ-OY-ctrl-003288:1	OY15_22042:4060-4190
BJ-OY-ctrl-003294:1	OY15_17268:1500-1540
BJ-OY-ctrl-003301:1	OY13_00448:1730-2400
BJ-OY-ctrl-003311:1	OY08_01463:530-640
BJ-OY-ctrl-003318:1	OY15_17580:8230-8390
BJ-OY-ctrl-003349:1	OY13_01921:2760-2830
BJ-OY-ctrl-003375:1	OY14_31873:1390-1560
BJ-OY-ctrl-003382:1	OY07_00977:720-970
BJ-OY-ctrl-003387:1	OY15_15464:3700-3940
BJ-OY-ctrl-003400:1	OY14_39607:780-840
BJ-OY-ctrl-003416:1	OY14_30923:5210-5320
BJ-OY-ctrl-003432:1	OY15_02965:15490-15820
BJ-OY-ctrl-003447:1	OY15_02115:180-340
BJ-OY-ctrl-003449:1	OY14_11898:2210-2280
BJ-OY-ctrl-003461:1	OY15_05441:1660-1750
BJ-OY-ctrl-003467:1	OY05_01535:2850-3160
BJ-OY-ctrl-003480:1	OY07_00478:3570-3750
BJ-OY-ctrl-003482:1	OY14_39256:1250-1340
