BJ-OY-rand-000001:1	OY03_09165:4350-4430
BJ-OY-rand-000142:1	OY15_01555:2420-2590
BJ-OY-rand-000144:1	OY15_14194:1770-1930
BJ-OY-rand-000145:1	OY14_39195:350-490
BJ-OY-rand-000146:1	OY14_37127:380-740
BJ-OY-rand-000147:1	OY15_09527:1560-1660
BJ-OY-rand-000148:1	OY14_53907:370-470
BJ-OY-rand-000149:1	OY15_15962:5400-5490
BJ-OY-rand-000150:1	OY02_00164:1170-1220
BJ-OY-rand-000151:1	OY15_07616:5480-5640
BJ-OY-rand-000152:1	OY13_05716:890-1020
BJ-OY-rand-000153:1	OY14_08659:1920-2070
BJ-OY-rand-000154:1	OY14_20233:530-730
BJ-OY-rand-000155:1	OY14_41382:560-600
BJ-OY-rand-000156:1	OY14_41810:3120-3350
BJ-OY-rand-000157:1	OY05_04548:1140-1230
BJ-OY-rand-000158:1	OY14_41339:90-160
BJ-OY-rand-000159:1	OY14_53682:9480-9630
BJ-OY-rand-000160:1	OY14_40946:1260-1380
BJ-OY-rand-000161:1	OY14_07442:1060-1170
BJ-OY-rand-000163:1	OY05_06030:900-1070
BJ-OY-rand-000164:1	OY03_09542:12200-12350
BJ-OY-rand-000165:1	OY14_23274:960-1010
BJ-OY-rand-000166:1	OY15_06402:2690-3060
BJ-OY-rand-000167:1	OY14_23130:10-150
BJ-OY-rand-000168:1	OY05_05390:1600-1940
BJ-OY-rand-000169:1	OY01_02190:930-1040
BJ-OY-rand-000170:1	OY01_04251:3450-3550
BJ-OY-rand-000171:1	OY05_03101:1950-2270
BJ-OY-rand-000172:1	OY15_17631:250-430
BJ-OY-rand-000173:1	OY14_20610:90-170
BJ-OY-rand-000174:1	OY14_11161:2760-3000
BJ-OY-rand-000175:1	OY03_08507:1400-1620
BJ-OY-rand-000176:1	OY14_20202:610-690
BJ-OY-rand-000177:1	OY03_09629:1430-1600
BJ-OY-rand-000178:1	OY15_01747:7940-8130
BJ-OY-rand-000179:1	OY04_01795:3630-3890
BJ-OY-rand-000180:1	OY14_43325:5420-5670
BJ-OY-rand-000181:1	OY02_00560:4740-4880
BJ-OY-rand-000182:1	OY14_02569:3410-3490
BJ-OY-rand-000183:1	OY15_03279:1110-1250
BJ-OY-rand-000184:1	OY04_00097:220-590
BJ-OY-rand-000185:1	OY15_19029:10-180
BJ-OY-rand-000186:1	OY14_32006:840-970
BJ-OY-rand-000187:1	OY14_35191:1530-1680
BJ-OY-rand-000188:1	OY14_24486:1820-1920
BJ-OY-rand-000189:1	OY03_06017:1970-2250
BJ-OY-rand-000190:1	OY15_12354:6970-7100
BJ-OY-rand-000191:1	OY14_47441:7990-8090
BJ-OY-rand-000192:1	OY11_00022:13530-13560
BJ-OY-rand-000193:1	OY01_03051:230-290
BJ-OY-rand-000195:1	OY05_00813:560-710
BJ-OY-rand-000196:1	OY14_37130:10-150
BJ-OY-rand-000197:1	OY14_06466:10-90
BJ-OY-rand-000198:1	OY14_01446:1540-1670
BJ-OY-rand-000199:1	OY14_51001:3360-3580
BJ-OY-rand-000200:1	OY13_03079:2060-2110
BJ-OY-rand-000201:1	OY07_01896:320-370
BJ-OY-rand-000202:1	OY03_10533:860-990
BJ-OY-rand-000203:1	OY02_00328:1620-1730
BJ-OY-rand-000204:1	OY02_01103:5690-5940
BJ-OY-rand-000205:1	OY14_10275:1100-1340
BJ-OY-rand-000206:1	OY03_07379:4680-4920
BJ-OY-rand-000207:1	OY14_38031:530-880
BJ-OY-rand-000208:1	OY04_07472:750-1160
BJ-OY-rand-000209:1	OY04_00880:1650-1870
BJ-OY-rand-000210:1	OY05_06114:470-720
BJ-OY-rand-000211:1	OY04_00580:2160-2490
BJ-OY-rand-000212:1	OY11_00385:3280-3710
BJ-OY-rand-000213:1	OY05_02832:460-640
BJ-OY-rand-000214:1	OY14_42286:1730-2030
BJ-OY-rand-000216:1	OY04_06568:6160-6300
BJ-OY-rand-000217:1	OY05_04391:160-480
