BJ-OY-bqnc-000001:1	OY01_00037:720-810
BJ-OY-bqnc-000221:1	OY08_00042:480-520
BJ-OY-bqnc-000222:1	OY08_00042:760-800
BJ-OY-bqnc-000223:1	OY08_00048:220-320
BJ-OY-bqnc-000224:1	OY08_00048:1020-1070
BJ-OY-bqnc-000225:1	OY08_00050:2150-2410
BJ-OY-bqnc-000226:1	OY08_00051:70-240
BJ-OY-bqnc-000227:1	OY08_00051:250-320
BJ-OY-bqnc-000228:1	OY08_00061:530-670
BJ-OY-bqnc-000229:1	OY08_00062:280-710
BJ-OY-bqnc-000230:1	OY08_00062:2830-3030
BJ-OY-bqnc-000231:1	OY08_00062:3520-3690
BJ-OY-bqnc-000232:1	OY08_00062:4790-5100
BJ-OY-bqnc-000233:1	OY08_00063:160-200
BJ-OY-bqnc-000234:1	OY08_00068:2000-2200
BJ-OY-bqnc-000235:1	OY09_00020:10-140
BJ-OY-bqnc-000236:1	OY09_00020:150-360
BJ-OY-bqnc-000237:1	OY09_00038:2020-2080
BJ-OY-bqnc-000238:1	OY09_00055:10-150
BJ-OY-bqnc-000239:1	OY09_00092:10-190
BJ-OY-bqnc-000240:1	OY09_00094:3200-3490
BJ-OY-bqnc-000241:1	OY09_00094:3500-3530
BJ-OY-bqnc-000242:1	OY09_00094:3540-3560
BJ-OY-bqnc-000243:1	OY09_00094:3570-3630
BJ-OY-bqnc-000244:1	OY09_00096:800-1080
BJ-OY-bqnc-000245:1	OY10_00015:150-250
BJ-OY-bqnc-000246:1	OY10_00015:3350-3400
BJ-OY-bqnc-000247:1	OY10_00015:4210-4280
BJ-OY-bqnc-000248:1	OY10_00019:10-50
BJ-OY-bqnc-000249:1	OY10_00019:830-980
BJ-OY-bqnc-000250:1	OY10_00019:1900-2060
BJ-OY-bqnc-000251:1	OY10_00019:2070-2210
BJ-OY-bqnc-000252:1	OY10_00019:2220-2300
BJ-OY-bqnc-000253:1	OY10_00019:2770-2810
BJ-OY-bqnc-000254:1	OY10_00019:2910-2950
BJ-OY-bqnc-000255:1	OY10_00019:4310-4470
BJ-OY-bqnc-000256:1	OY10_00022:1020-1140
BJ-OY-bqnc-000257:1	OY10_00040:2280-2430
BJ-OY-bqnc-000258:1	OY10_00042:200-290
BJ-OY-bqnc-000259:1	OY10_00042:1240-1480
BJ-OY-bqnc-000260:1	OY10_00043:950-990
BJ-OY-bqnc-000261:1	OY10_00043:1000-1090
BJ-OY-bqnc-000262:1	OY10_00051:630-780
BJ-OY-bqnc-000263:1	OY10_00052:940-1060
BJ-OY-bqnc-000264:1	OY10_00053:770-970
BJ-OY-bqnc-000265:1	OY10_00061:160-170
BJ-OY-bqnc-000266:1	OY10_00061:1060-1270
BJ-OY-bqnc-000267:1	OY10_00061:1280-1470
BJ-OY-bqnc-000268:1	OY10_00061:2450-2620
BJ-OY-bqnc-000269:1	OY10_00061:4780-4950
BJ-OY-bqnc-000270:1	OY10_00061:6840-6970
BJ-OY-bqnc-000271:1	OY10_00061:8480-8540
BJ-OY-bqnc-000272:1	OY10_00061:10570-10780
BJ-OY-bqnc-000273:1	OY10_00061:14010-14090
BJ-OY-bqnc-000274:1	OY10_00061:15390-15470
BJ-OY-bqnc-000275:1	OY10_00064:170-280
BJ-OY-bqnc-000276:1	OY10_00064:2330-2510
BJ-OY-bqnc-000277:1	OY10_00064:5170-5490
BJ-OY-bqnc-000278:1	OY10_00064:5800-5880
BJ-OY-bqnc-000279:1	OY10_00064:5890-6020
BJ-OY-bqnc-000280:1	OY10_00064:6760-6890
BJ-OY-bqnc-000281:1	OY10_00064:6900-6990
BJ-OY-bqnc-000282:1	OY10_00064:7190-7260
BJ-OY-bqnc-000283:1	OY11_00022:5420-5760
BJ-OY-bqnc-000284:1	OY11_00023:220-310
BJ-OY-bqnc-000285:1	OY11_00023:320-380
BJ-OY-bqnc-000286:1	OY11_00026:10-330
BJ-OY-bqnc-000287:1	OY11_00033:5630-5740
BJ-OY-bqnc-000288:1	OY11_00039:10-240
BJ-OY-bqnc-000289:1	OY11_00039:360-460
BJ-OY-bqnc-000290:1	OY11_00043:10-40
BJ-OY-bqnc-000291:1	OY11_00043:5420-5650
BJ-OY-bqnc-000292:1	OY11_00052:10-50
BJ-OY-bqnc-000293:1	OY11_00052:60-210
BJ-OY-bqnc-000294:1	OY11_00063:500-590
BJ-OY-bqnc-000295:1	OY11_00063:2920-2960
BJ-OY-bqnc-000296:1	OY11_00063:4130-4250
BJ-OY-bqnc-000297:1	OY11_00083:230-300
BJ-OY-bqnc-000298:1	OY11_00083:310-410
BJ-OY-bqnc-000299:1	OY11_00085:760-910
BJ-OY-bqnc-000300:1	OY11_00088:170-350
BJ-OY-bqnc-000301:1	OY11_00089:3410-3450
BJ-OY-bqnc-000302:1	OY11_00099:10-190
BJ-OY-bqnc-000303:1	OY11_00118:1750-1790
BJ-OY-bqnc-000304:1	OY11_09586:180-260
BJ-OY-bqnc-000305:1	OY11_09586:290-480
BJ-OY-bqnc-000306:1	OY11_09586:850-920
BJ-OY-bqnc-000307:1	OY11_09586:940-1090
BJ-OY-bqnc-000308:1	OY11_09588:10-120
BJ-OY-bqnc-000309:1	OY11_09588:1190-1270
BJ-OY-bqnc-000310:1	OY11_09594:840-920
BJ-OY-bqnc-000311:1	OY11_09594:1190-1320
BJ-OY-bqnc-000312:1	OY11_09621:970-1220
BJ-OY-bqnc-000313:1	OY11_09621:1540-1800
BJ-OY-bqnc-000314:1	OY11_09628:250-450
BJ-OY-bqnc-000315:1	OY11_09632:1760-1900
BJ-OY-bqnc-000316:1	OY12_00013:180-260
BJ-OY-bqnc-000317:1	OY12_00013:1590-1780
BJ-OY-bqnc-000318:1	OY12_00013:1790-1900
BJ-OY-bqnc-000319:1	OY12_00013:3370-3430
BJ-OY-bqnc-000320:1	OY13_00006:660-750
BJ-OY-bqnc-000321:1	OY13_00006:1840-1910
BJ-OY-bqnc-000322:1	OY13_00016:270-460
BJ-OY-bqnc-000323:1	OY13_00083:50-110
BJ-OY-bqnc-000324:1	OY13_00092:580-780
BJ-OY-bqnc-000325:1	OY14_00001:10-30
BJ-OY-bqnc-000326:1	OY14_00001:310-410
BJ-OY-bqnc-000327:1	OY14_00001:420-510
BJ-OY-bqnc-000328:1	OY14_00023:1130-1150
BJ-OY-bqnc-000329:1	OY14_00028:280-500
BJ-OY-bqnc-000330:1	OY14_00034:4160-4300
BJ-OY-bqnc-000331:1	OY14_00034:4310-4340
BJ-OY-bqnc-000332:1	OY14_00034:10910-11210
BJ-OY-bqnc-000333:1	OY14_00034:11560-11650
BJ-OY-bqnc-000334:1	OY14_00036:1680-1760
BJ-OY-bqnc-000335:1	OY14_00049:890-1060
BJ-OY-bqnc-000336:1	OY14_00049:1070-1110
BJ-OY-bqnc-000337:1	OY14_00057:1540-1720
BJ-OY-bqnc-000338:1	OY14_00057:2280-2480
BJ-OY-bqnc-000339:1	OY14_00057:2490-2710
BJ-OY-bqnc-000340:1	OY14_00063:1220-1330
BJ-OY-bqnc-000341:1	OY14_00065:3490-3570
BJ-OY-bqnc-000342:1	OY14_00065:3950-4120
BJ-OY-bqnc-000343:1	OY14_00065:10250-10420
BJ-OY-bqnc-000344:1	OY14_00065:12000-12260
BJ-OY-bqnc-000345:1	OY14_00065:12510-12610
BJ-OY-bqnc-000346:1	OY14_00065:14960-15050
BJ-OY-bqnc-000347:1	OY14_00065:16950-17070
BJ-OY-bqnc-000348:1	OY14_00071:10-60
BJ-OY-bqnc-000349:1	OY14_00078:40-170
BJ-OY-bqnc-000350:1	OY14_00081:220-320
BJ-OY-bqnc-000351:1	OY14_00081:530-570
BJ-OY-bqnc-000352:1	OY14_00095:10-120
BJ-OY-bqnc-000353:1	OY14_00104:230-320
BJ-OY-bqnc-000354:1	OY14_00104:330-380
BJ-OY-bqnc-000355:1	OY14_00109:210-330
BJ-OY-bqnc-000356:1	OY14_00111:10-500
BJ-OY-bqnc-000357:1	OY14_00111:510-550
BJ-OY-bqnc-000358:1	OY14_00116:10-130
BJ-OY-bqnc-000359:1	OY14_00117:180-230
BJ-OY-bqnc-000360:1	OY14_00123:320-430
BJ-OY-bqnc-000361:1	OY14_00123:910-1040
BJ-OY-bqnc-000362:1	OY14_05641:2990-3140
BJ-OY-bqnc-000363:1	OY14_05641:3210-3460
BJ-OY-bqnc-000364:1	OY14_05641:3470-3550
BJ-OY-bqnc-000365:1	OY14_05642:10-240
BJ-OY-bqnc-000366:1	OY14_10000:10-50
BJ-OY-bqnc-000367:1	OY14_10000:60-210
BJ-OY-bqnc-000368:1	OY14_10000:370-480
BJ-OY-bqnc-000369:1	OY14_10000:490-660
BJ-OY-bqnc-000370:1	OY14_10000:670-750
BJ-OY-bqnc-000371:1	OY14_10001:290-400
BJ-OY-bqnc-000372:1	OY14_10011:1210-1310
BJ-OY-bqnc-000373:1	OY14_10011:1530-1650
BJ-OY-bqnc-000374:1	OY14_10011:2120-2370
BJ-OY-bqnc-000375:1	OY14_10011:2690-2920
BJ-OY-bqnc-000376:1	OY14_10011:3290-3310
BJ-OY-bqnc-000377:1	OY14_10016:400-490
BJ-OY-bqnc-000378:1	OY14_10016:500-710
BJ-OY-bqnc-000379:1	OY14_10018:640-730
BJ-OY-bqnc-000380:1	OY14_10018:1030-1410
BJ-OY-bqnc-000381:1	OY14_10018:1630-1870
BJ-OY-bqnc-000382:1	OY14_10018:2600-2780
BJ-OY-bqnc-000383:1	OY14_10018:2910-3110
BJ-OY-bqnc-000384:1	OY14_10018:3650-3850
BJ-OY-bqnc-000385:1	OY14_10018:7730-7880
BJ-OY-bqnc-000386:1	OY14_10031:1050-1090
BJ-OY-bqnc-000387:1	OY14_10033:620-660
BJ-OY-bqnc-000388:1	OY14_10033:750-940
BJ-OY-bqnc-000389:1	OY14_10034:90-110
BJ-OY-bqnc-000390:1	OY14_10034:710-760
BJ-OY-bqnc-000391:1	OY14_10043:1680-1780
BJ-OY-bqnc-000392:1	OY14_10046:10-140
BJ-OY-bqnc-000393:1	OY14_10046:150-330
BJ-OY-bqnc-000394:1	OY14_10046:340-420
BJ-OY-bqnc-000395:1	OY14_10046:430-490
BJ-OY-bqnc-000396:1	OY14_10047:310-390
BJ-OY-bqnc-000397:1	OY14_10047:2070-2200
BJ-OY-bqnc-000398:1	OY14_10058:1010-1100
BJ-OY-bqnc-000399:1	OY14_10058:1110-1170
BJ-OY-bqnc-000400:1	OY14_10059:790-810
BJ-OY-bqnc-000401:1	OY14_10059:890-1060
BJ-OY-bqnc-000402:1	OY14_10062:2740-2890
BJ-OY-bqnc-000403:1	OY14_10062:3070-3210
BJ-OY-bqnc-000404:1	OY14_10076:450-570
BJ-OY-bqnc-000405:1	OY14_10076:920-1040
BJ-OY-bqnc-000406:1	OY14_10078:10-60
BJ-OY-bqnc-000407:1	OY14_10078:70-200
BJ-OY-bqnc-000408:1	OY14_10078:210-330
BJ-OY-bqnc-000409:1	OY14_10078:1370-1450
BJ-OY-bqnc-000410:1	OY14_10079:500-550
BJ-OY-bqnc-000411:1	OY14_10087:10-80
BJ-OY-bqnc-000412:1	OY14_10088:3140-3370
BJ-OY-bqnc-000413:1	OY14_10095:4930-4980
BJ-OY-bqnc-000414:1	OY14_10095:5500-5790
BJ-OY-bqnc-000415:1	OY14_10103:800-950
BJ-OY-bqnc-000416:1	OY14_10103:2820-2960
BJ-OY-bqnc-000417:1	OY14_10109:300-390
BJ-OY-bqnc-000418:1	OY14_10109:400-450
BJ-OY-bqnc-000419:1	OY14_10124:50-160
BJ-OY-bqnc-000420:1	OY14_20001:100-270
BJ-OY-bqnc-000421:1	OY14_20001:350-450
BJ-OY-bqnc-000422:1	OY14_20001:460-480
BJ-OY-bqnc-000423:1	OY14_20008:10-30
BJ-OY-bqnc-000424:1	OY14_20008:2290-2350
BJ-OY-bqnc-000425:1	OY14_20008:3120-3130
BJ-OY-bqnc-000426:1	OY14_20008:4680-4680
BJ-OY-bqnc-000427:1	OY14_20008:4870-4890
BJ-OY-bqnc-000428:1	OY14_20008:8010-8040
BJ-OY-bqnc-000429:1	OY14_20008:9570-9610
BJ-OY-bqnc-000430:1	OY14_20008:11650-11670
BJ-OY-bqnc-000431:1	OY14_20008:13730-13770
BJ-OY-bqnc-000432:1	OY14_20008:15210-15230
BJ-OY-bqnc-000433:1	OY14_20008:15620-15640
BJ-OY-bqnc-000434:1	OY14_20017:1570-1740
BJ-OY-bqnc-000435:1	OY14_20017:2520-2710
BJ-OY-bqnc-000436:1	OY14_20017:5600-5760
BJ-OY-bqnc-000437:1	OY14_20017:5770-5930
BJ-OY-bqnc-000438:1	OY14_20019:1720-1790
BJ-OY-bqnc-000439:1	OY14_20019:2100-2140
BJ-OY-bqnc-000440:1	OY14_20019:4410-4430
BJ-OY-bqnc-000441:1	OY14_20019:4640-4690
BJ-OY-bqnc-000442:1	OY14_20019:6830-6890
BJ-OY-bqnc-000443:1	OY14_20019:7220-7290
BJ-OY-bqnc-000444:1	OY14_20019:14040-14050
BJ-OY-bqnc-000445:1	OY14_20024:110-150
BJ-OY-bqnc-000446:1	OY14_20024:160-270
BJ-OY-bqnc-000447:1	OY14_20024:280-450
BJ-OY-bqnc-000448:1	OY14_20024:480-520
BJ-OY-bqnc-000449:1	OY14_20028:310-370
BJ-OY-bqnc-000450:1	OY14_20033:20-180
BJ-OY-bqnc-000451:1	OY14_20033:360-420
BJ-OY-bqnc-000452:1	OY14_20033:450-560
BJ-OY-bqnc-000453:1	OY14_20033:1140-1310
BJ-OY-bqnc-000454:1	OY14_20033:1320-1560
BJ-OY-bqnc-000455:1	OY14_20036:2300-2520
BJ-OY-bqnc-000456:1	OY14_20036:5100-5230
BJ-OY-bqnc-000457:1	OY14_20036:8660-8780
BJ-OY-bqnc-000458:1	OY14_20041:1590-1940
BJ-OY-bqnc-000459:1	OY14_20041:2040-2150
BJ-OY-bqnc-000460:1	OY14_20041:2350-2620
BJ-OY-bqnc-000461:1	OY14_20041:2630-3010
BJ-OY-bqnc-000462:1	OY14_20041:6710-6850
BJ-OY-bqnc-000463:1	OY14_20041:6940-7120
BJ-OY-bqnc-000464:1	OY14_22741:2940-2980
BJ-OY-bqnc-000465:1	OY14_30008:2810-2810
BJ-OY-bqnc-000466:1	OY14_30013:4500-4610
BJ-OY-bqnc-000467:1	OY14_30016:480-610
BJ-OY-bqnc-000468:1	OY14_30018:420-620
BJ-OY-bqnc-000469:1	OY14_30018:1200-1290
BJ-OY-bqnc-000470:1	OY14_30021:2630-2640
BJ-OY-bqnc-000471:1	OY14_30026:50-140
BJ-OY-bqnc-000472:1	OY14_30040:10-120
BJ-OY-bqnc-000473:1	OY14_30040:1240-1400
BJ-OY-bqnc-000474:1	OY14_30057:290-320
BJ-OY-bqnc-000475:1	OY14_30066:300-490
BJ-OY-bqnc-000476:1	OY14_30066:1820-1860
BJ-OY-bqnc-000477:1	OY14_30066:1980-2110
BJ-OY-bqnc-000478:1	OY14_30066:3460-3640
BJ-OY-bqnc-000479:1	OY14_30069:1810-1960
BJ-OY-bqnc-000480:1	OY14_30069:2220-2420
