BJ-OC-rand-000001:1	OC04_01047:10-160
BJ-OC-rand-000043:1	OC02_09171:910-990
BJ-OC-rand-000044:1	OC14_08169:1230-1360
BJ-OC-rand-000046:1	OC12_00593:840-1080
BJ-OC-rand-000047:1	OC05_03428:1880-2000
BJ-OC-rand-000048:1	OC09_07345:1720-1940
BJ-OC-rand-000049:1	OC14_07297:970-1410
BJ-OC-rand-000050:1	OC01_05453:1410-1540
BJ-OC-rand-000051:1	OC03_02407:1020-1090
BJ-OC-rand-000052:1	OC05_01988:950-1080
BJ-OC-rand-000053:1	OC12_06191:2080-2310
BJ-OC-rand-000054:1	OC12_03832:500-650
BJ-OC-rand-000055:1	OC04_00251:1360-1440
BJ-OC-rand-000056:1	OC14_00290:550-760
BJ-OC-rand-000057:1	OC03_00859:940-1060
BJ-OC-rand-000058:1	OC09_05018:10-140
BJ-OC-rand-000059:1	OC09_13267:1560-1800
BJ-OC-rand-000060:1	OC01_02672:680-900
BJ-OC-rand-000061:1	OC10_00809:320-480
BJ-OC-rand-000062:1	OC06_05009:100-200
BJ-OC-rand-000063:1	OC10_04059:210-900
BJ-OC-rand-000064:1	OC09_06176:110-250
BJ-OC-rand-000065:1	OC06_02689:300-420
BJ-OC-rand-000066:1	OC08_01102:110-460
BJ-OC-rand-000067:1	OC09_04427:140-470
BJ-OC-rand-000068:1	OC06_05684:420-510
BJ-OC-rand-000069:1	OC14_01522:10-300
BJ-OC-rand-000070:1	OC06_05162:1070-1280
BJ-OC-rand-000071:1	OC14_07297:420-600
BJ-OC-rand-000072:1	OC11_00827:1220-1380
BJ-OC-rand-000073:1	OC14_00733:10-230
BJ-OC-rand-000074:1	OC06_06196:10-640
BJ-OC-rand-000075:1	OC02_08325:560-770
BJ-OC-rand-000076:1	OC06_06858:620-960
BJ-OC-rand-000077:1	OC06_04604:10-130
BJ-OC-rand-000078:1	OC02_07588:320-580
BJ-OC-rand-000079:1	OC10_01390:670-800
BJ-OC-rand-000080:1	OC09_07991:790-890
BJ-OC-rand-000081:1	OC06_04313:2030-2120
BJ-OC-rand-000083:1	OC05_00478:220-380
BJ-OC-rand-000084:1	OC01_06946:1230-1410
BJ-OC-rand-000085:1	OC10_02974:890-1230
BJ-OC-rand-000086:1	OC02_00774:10-130
BJ-OC-rand-000087:1	OC09_07423:530-740
BJ-OC-rand-000088:1	OC09_08605:1450-1600
BJ-OC-rand-000089:1	OC10_02630:1040-1280
BJ-OC-rand-000091:1	OC02_03077:1070-1230
BJ-OC-rand-000092:1	OC14_02028:920-1060
BJ-OC-rand-000093:1	OC02_00100:320-500
BJ-OC-rand-000094:1	OC09_10618:470-600
BJ-OC-rand-000095:1	OC09_15098:10-180
BJ-OC-rand-000096:1	OC14_00381:50-230
BJ-OC-rand-000097:1	OC01_07896:10-220
BJ-OC-rand-000098:1	OC12_01961:940-1110
BJ-OC-rand-000099:1	OC10_02046:2140-2310
BJ-OC-rand-000100:1	OC12_04284:200-310
BJ-OC-rand-000101:1	OC13_03498:730-990
BJ-OC-rand-000102:1	OC12_04886:2690-2820
BJ-OC-rand-000103:1	OC03_02197:180-280
BJ-OC-rand-000104:1	OC01_07127:330-510
BJ-OC-rand-000105:1	OC11_01088:50-150
BJ-OC-rand-000106:1	OC13_00120:710-840
BJ-OC-rand-000107:1	OC09_05128:550-1030
BJ-OC-rand-000108:1	OC14_03127:520-700
BJ-OC-rand-000109:1	OC11_01061:10-90
BJ-OC-rand-000110:1	OC09_07180:10-150
BJ-OC-rand-000111:1	OC13_01790:620-670
BJ-OC-rand-000113:1	OC08_04321:220-380
BJ-OC-rand-000114:1	OC08_03485:220-600
BJ-OC-rand-000115:1	OC14_06531:580-790
BJ-OC-rand-000116:1	OC14_08017:600-710
BJ-OC-rand-000117:1	OC09_04899:1010-1170
BJ-OC-rand-000118:1	OC10_00265:470-570
BJ-OC-rand-000119:1	OC12_05219:10-80
BJ-OC-rand-000120:1	OC09_05193:300-420
BJ-OC-rand-000121:1	OC09_03329:40-180
BJ-OC-rand-000122:1	OC08_06048:2300-2600
BJ-OC-rand-000123:1	OC08_04126:1680-1770
BJ-OC-rand-000124:1	OC09_02749:1020-1170
BJ-OC-rand-000125:1	OC09_10551:900-1130
BJ-OC-rand-000126:1	OC02_01800:350-650
BJ-OC-rand-000127:1	OC12_05005:1040-1180
BJ-OC-rand-000128:1	OC01_05968:2970-3240
BJ-OC-rand-000129:1	OC02_00423:940-1180
BJ-OC-rand-000130:1	OC09_13660:540-700
BJ-OC-rand-000131:1	OC12_07213:130-170
BJ-OC-rand-000132:1	OC09_07307:1400-1590
BJ-OC-rand-000133:1	OC02_01629:10-200
BJ-OC-rand-000134:1	OC10_02603:2450-2530
BJ-OC-rand-000135:1	OC09_11452:1460-1610
BJ-OC-rand-000136:1	OC13_03486:10-140
BJ-OC-rand-000137:1	OC09_01791:1360-1450
BJ-OC-rand-000138:1	OC14_01631:630-870
BJ-OC-rand-000139:1	OC01_00075:300-390
BJ-OC-rand-000140:1	OC03_02166:270-320
BJ-OC-rand-000141:1	OC03_00749:810-890
BJ-OC-rand-000142:1	OC05_03333:480-650
BJ-OC-rand-000144:1	OC11_00931:1410-1580
BJ-OC-rand-000145:1	OC09_01049:560-720
BJ-OC-rand-000146:1	OC06_03627:950-1400
BJ-OC-rand-000147:1	OC06_04938:970-1050
BJ-OC-rand-000148:1	OC08_01865:200-500
BJ-OC-rand-000149:1	OC06_05505:760-880
BJ-OC-rand-000150:1	OC12_06348:1010-1130
BJ-OC-rand-000151:1	OC08_04058:2160-2420
BJ-OC-rand-000152:1	OC04_00862:1580-1700
BJ-OC-rand-000153:1	OC10_00165:10-230
BJ-OC-rand-000154:1	OC14_00771:770-1000
BJ-OC-rand-000155:1	OC09_12431:10-230
BJ-OC-rand-000156:1	OC14_01826:130-380
BJ-OC-rand-000157:1	OC06_03191:420-630
BJ-OC-rand-000158:1	OC14_10461:330-510
BJ-OC-rand-000159:1	OC08_06852:810-1340
BJ-OC-rand-000160:1	OC14_01810:330-510
BJ-OC-rand-000161:1	OC14_05735:10-150
BJ-OC-rand-000162:1	OC09_02974:1250-1370
BJ-OC-rand-000163:1	OC01_04118:710-760
BJ-OC-rand-000164:1	OC09_07989:1480-1680
BJ-OC-rand-000165:1	OC12_02384:840-900
BJ-OC-rand-000166:1	OC08_07249:380-440
BJ-OC-rand-000167:1	OC12_03457:780-1090
BJ-OC-rand-000168:1	OC02_03113:1510-1640
BJ-OC-rand-000169:1	OC05_00370:1510-1660
BJ-OC-rand-000170:1	OC14_11608:660-860
BJ-OC-rand-000171:1	OC09_09238:260-390
BJ-OC-rand-000172:1	OC11_00127:1280-1350
BJ-OC-rand-000173:1	OC11_01352:530-700
BJ-OC-rand-000174:1	OC09_14121:930-1450
BJ-OC-rand-000175:1	OC02_08812:1090-1340
BJ-OC-rand-000176:1	OC09_11987:1210-1480
BJ-OC-rand-000177:1	OC12_06624:1260-1330
BJ-OC-rand-000178:1	OC14_09314:120-180
BJ-OC-rand-000179:1	OC08_03131:930-1130
BJ-OC-rand-000180:1	OC09_11951:980-1230
BJ-OC-rand-000181:1	OC06_01341:220-1110
BJ-OC-rand-000182:1	OC05_00814:1900-2190
BJ-OC-rand-000185:1	OC09_03708:10-100
BJ-OC-rand-000186:1	OC02_00563:10-120
BJ-OC-rand-000187:1	OC10_00871:90-510
BJ-OC-rand-000188:1	OC09_03621:440-570
BJ-OC-rand-000189:1	OC09_05287:1690-1760
BJ-OC-rand-000190:1	OC10_02992:470-640
BJ-OC-rand-000191:1	OC09_01505:10-310
BJ-OC-rand-000192:1	OC02_09050:790-900
BJ-OC-rand-000193:1	OC10_03256:1190-1370
BJ-OC-rand-000194:1	OC12_04020:1020-1120
BJ-OC-rand-000195:1	OC04_00586:2220-2710
BJ-OC-rand-000196:1	OC06_01151:10-190
BJ-OC-rand-000197:1	OC08_04496:1800-1920
BJ-OC-rand-000198:1	OC10_01493:1300-1530
BJ-OC-rand-000199:1	OC05_03347:730-1100
BJ-OC-rand-000200:1	OC13_02951:370-410
BJ-OC-rand-000201:1	OC02_01922:10-150
BJ-OC-rand-000202:1	OC08_01259:10-100
BJ-OC-rand-000203:1	OC02_02665:490-630
BJ-OC-rand-000204:1	OC02_04588:10-110
BJ-OC-rand-000205:1	OC12_03745:130-180
BJ-OC-rand-000206:1	OC01_02946:160-240
BJ-OC-rand-000207:1	OC08_07441:710-1040
BJ-OC-rand-000208:1	OC03_02308:1660-1920
