BJ-OC-ctrl-000001:1	OC13_02060:250-580
BJ-OC-ctrl-000808:1	OC02_03008:10-260
BJ-OC-ctrl-000813:1	OC12_01988:10-120
BJ-OC-ctrl-000815:1	OC12_01955:940-1290
BJ-OC-ctrl-000838:1	OC01_04531:930-1030
BJ-OC-ctrl-000849:1	OC01_07099:340-470
BJ-OC-ctrl-000860:1	OC14_07159:930-1110
BJ-OC-ctrl-000861:1	OC01_10433:10-80
BJ-OC-ctrl-000878:1	OC02_03754:380-510
BJ-OC-ctrl-000881:1	OC12_05380:290-340
BJ-OC-ctrl-000892:1	OC01_09342:360-420
BJ-OC-ctrl-000901:1	OC14_04460:700-930
BJ-OC-ctrl-000910:1	OC01_06040:10-150
BJ-OC-ctrl-000916:1	OC14_05209:530-680
BJ-OC-ctrl-000922:1	OC14_08731:920-990
BJ-OC-ctrl-000948:1	OC02_08022:10-120
BJ-OC-ctrl-000951:1	OC14_09199:720-800
BJ-OC-ctrl-000957:1	OC01_06521:370-540
BJ-OC-ctrl-000965:1	OC02_08580:110-300
BJ-OC-ctrl-000970:1	OC14_04647:1660-1810
BJ-OC-ctrl-001011:1	OC10_04435:10-270
BJ-OC-ctrl-001015:1	OC14_00426:1450-1750
BJ-OC-ctrl-001023:1	OC04_01430:620-720
BJ-OC-ctrl-001028:1	OC09_05269:1310-1590
BJ-OC-ctrl-001048:1	OC12_04979:550-830
BJ-OC-ctrl-001057:1	OC14_02494:610-730
BJ-OC-ctrl-001063:1	OC08_07166:650-860
BJ-OC-ctrl-001068:1	OC08_07099:410-550
BJ-OC-ctrl-001073:1	OC09_11923:280-420
BJ-OC-ctrl-001078:1	OC10_02753:740-1260
BJ-OC-ctrl-001084:1	OC08_04597:340-490
BJ-OC-ctrl-001096:1	OC12_03024:1320-1730
BJ-OC-ctrl-001103:1	OC09_13243:890-1170
BJ-OC-ctrl-001105:1	OC10_02571:2550-2920
BJ-OC-ctrl-001111:1	OC09_13695:1760-1840
BJ-OC-ctrl-001116:1	OC09_14684:1140-1240
BJ-OC-ctrl-001117:1	OC06_01609:220-360
BJ-OC-ctrl-001131:1	OC09_02720:280-420
BJ-OC-ctrl-001134:1	OC01_10570:10-120
BJ-OC-ctrl-001174:1	OC05_02999:1380-1730
BJ-OC-ctrl-001188:1	OC10_00271:340-870
BJ-OC-ctrl-001192:1	OC06_05165:140-340
BJ-OC-ctrl-001215:1	OC04_00954:1400-1530
BJ-OC-ctrl-001222:1	OC01_06226:210-450
BJ-OC-ctrl-001243:1	OC08_02952:340-400
BJ-OC-ctrl-001272:1	OC12_06673:10-360
BJ-OC-ctrl-001278:1	OC08_03069:1460-1520
BJ-OC-ctrl-001284:1	OC08_03382:860-1080
BJ-OC-ctrl-001288:1	OC08_02799:930-990
BJ-OC-ctrl-001302:1	OC05_01770:230-580
BJ-OC-ctrl-001303:1	OC01_05751:720-820
BJ-OC-ctrl-001313:1	OC09_13291:1450-1590
BJ-OC-ctrl-001317:1	OC02_05777:10-230
BJ-OC-ctrl-001318:1	OC09_06799:1270-1520
BJ-OC-ctrl-001334:1	OC09_15296:1620-1840
BJ-OC-ctrl-001356:1	OC10_02156:1240-1540
BJ-OC-ctrl-001358:1	OC14_01113:270-410
BJ-OC-ctrl-001359:1	OC09_14483:610-710
BJ-OC-ctrl-001362:1	OC03_00559:890-1280
BJ-OC-ctrl-001373:1	OC06_06216:180-280
BJ-OC-ctrl-001397:1	OC15_00289:560-610
BJ-OC-ctrl-001407:1	OC10_03057:1670-1720
BJ-OC-ctrl-001436:1	OC02_01659:690-800
BJ-OC-ctrl-001460:1	OC08_06648:500-750
BJ-OC-ctrl-001471:1	OC01_05995:600-810
BJ-OC-ctrl-001473:1	OC15_00469:140-240
BJ-OC-ctrl-001490:1	OC14_09190:230-460
BJ-OC-ctrl-001503:1	OC09_14987:1240-1320
BJ-OC-ctrl-001528:1	OC09_00646:240-390
BJ-OC-ctrl-001529:1	OC06_01740:430-560
BJ-OC-ctrl-001541:1	OC04_01272:10-710
BJ-OC-ctrl-001556:1	OC06_02306:170-500
BJ-OC-ctrl-001587:1	OC09_08245:350-530
BJ-OC-ctrl-001589:1	OC10_04596:2760-3140
BJ-OC-ctrl-001600:1	OC01_05710:590-740
BJ-OC-ctrl-001626:1	OC14_05506:10-60
BJ-OC-ctrl-001630:1	OC10_02141:350-470
BJ-OC-ctrl-001635:1	OC14_00492:2700-3020
BJ-OC-ctrl-001645:1	OC06_02642:10-110
BJ-OC-ctrl-001660:1	OC06_02078:860-920
BJ-OC-ctrl-001689:1	OC05_03307:450-970
BJ-OC-ctrl-001706:1	OC12_04901:550-700
BJ-OC-ctrl-001733:1	OC02_00459:500-750
BJ-OC-ctrl-001744:1	OC13_02157:1240-1420
BJ-OC-ctrl-001761:1	OC02_05675:10-270
BJ-OC-ctrl-001808:1	OC10_02546:580-820
BJ-OC-ctrl-001820:1	OC02_03839:1870-1980
BJ-OC-ctrl-001829:1	OC11_00920:1640-1780
BJ-OC-ctrl-001834:1	OC06_01792:280-470
BJ-OC-ctrl-001838:1	OC09_07822:720-800
BJ-OC-ctrl-001842:1	OC08_07273:890-980
BJ-OC-ctrl-001845:1	OC09_03660:660-770
BJ-OC-ctrl-001848:1	OC01_08586:220-300
BJ-OC-ctrl-001850:1	OC14_09332:140-240
BJ-OC-ctrl-001872:1	OC02_02072:270-410
BJ-OC-ctrl-001875:1	OC01_02449:870-1130
BJ-OC-ctrl-001889:1	OC14_07345:2630-2690
BJ-OC-ctrl-001891:1	OC12_05099:160-330
BJ-OC-ctrl-001892:1	OC02_00944:470-670
BJ-OC-ctrl-001896:1	OC13_03303:190-340
BJ-OC-ctrl-001904:1	OC02_00299:1420-1890
BJ-OC-ctrl-001910:1	OC14_10793:10-130
BJ-OC-ctrl-001921:1	OC12_00709:10-100
BJ-OC-ctrl-001924:1	OC14_05524:950-1150
BJ-OC-ctrl-001946:1	OC14_11192:580-860
BJ-OC-ctrl-001947:1	OC04_01631:1930-2060
BJ-OC-ctrl-001971:1	OC14_11772:550-1140
BJ-OC-ctrl-001979:1	OC12_03765:2000-2230
BJ-OC-ctrl-001984:1	OC10_04415:550-620
BJ-OC-ctrl-002004:1	OC12_01823:2690-3000
BJ-OC-ctrl-002010:1	OC13_01263:220-330
BJ-OC-ctrl-002011:1	OC02_02687:1100-1220
BJ-OC-ctrl-002021:1	OC10_03847:2590-2780
BJ-OC-ctrl-002034:1	OC12_03743:10-240
BJ-OC-ctrl-002052:1	OC09_02587:1030-1420
BJ-OC-ctrl-002064:1	OC09_01018:10-310
BJ-OC-ctrl-002072:1	OC09_08286:470-810
BJ-OC-ctrl-002080:1	OC01_07682:380-450
BJ-OC-ctrl-002081:1	OC10_00436:110-380
BJ-OC-ctrl-002091:1	OC08_01856:890-980
BJ-OC-ctrl-002096:1	OC05_02543:10-300
BJ-OC-ctrl-002104:1	OC10_03241:1210-1390
BJ-OC-ctrl-002105:1	OC02_05866:3180-3650
BJ-OC-ctrl-002142:1	OC02_00153:480-640
BJ-OC-ctrl-002158:1	OC08_02495:700-810
BJ-OC-ctrl-002163:1	OC01_01983:300-410
BJ-OC-ctrl-002178:1	OC08_06552:1650-1750
BJ-OC-ctrl-002186:1	OC14_11663:190-350
BJ-OC-ctrl-002190:1	OC02_03854:740-970
BJ-OC-ctrl-002194:1	OC09_08849:1660-2050
BJ-OC-ctrl-002201:1	OC11_01496:300-530
BJ-OC-ctrl-002203:1	OC08_00589:100-780
BJ-OC-ctrl-002219:1	OC02_02273:800-1050
BJ-OC-ctrl-002220:1	OC09_08494:3970-4140
BJ-OC-ctrl-002231:1	OC03_00859:560-620
BJ-OC-ctrl-002241:1	OC02_03159:940-1260
BJ-OC-ctrl-002257:1	OC12_05780:450-480
BJ-OC-ctrl-002263:1	OC05_01622:70-390
BJ-OC-ctrl-002267:1	OC06_02221:590-870
BJ-OC-ctrl-002277:1	OC02_02848:10-500
BJ-OC-ctrl-002280:1	OC09_07035:860-980
BJ-OC-ctrl-002302:1	OC06_01663:380-600
BJ-OC-ctrl-002303:1	OC09_07295:1050-1100
BJ-OC-ctrl-002309:1	OC02_01699:10-70
BJ-OC-ctrl-002320:1	OC06_05992:620-890
BJ-OC-ctrl-002348:1	OC01_02666:900-1110
BJ-OC-ctrl-002413:1	OC10_01139:1410-1500
BJ-OC-ctrl-002420:1	OC09_00411:770-880
BJ-OC-ctrl-002441:1	OC11_00450:10-570
BJ-OC-ctrl-002443:1	OC02_03462:10-230
BJ-OC-ctrl-002450:1	OC01_03536:230-360
BJ-OC-ctrl-002455:1	OC09_09109:320-660
BJ-OC-ctrl-002460:1	OC12_04936:1060-1320
BJ-OC-ctrl-002475:1	OC12_01450:10-270
BJ-OC-ctrl-002488:1	OC01_05285:2390-2480
BJ-OC-ctrl-002506:1	OC06_04147:10-610
BJ-OC-ctrl-002517:1	OC14_05284:70-380
BJ-OC-ctrl-002519:1	OC08_04106:560-650
BJ-OC-ctrl-002527:1	OC01_04027:180-320
BJ-OC-ctrl-002554:1	OC12_00713:2220-2300
BJ-OC-ctrl-002571:1	OC02_06675:460-780
BJ-OC-ctrl-002591:1	OC06_04337:130-280
BJ-OC-ctrl-002601:1	OC08_05027:10-180
BJ-OC-ctrl-002617:1	OC09_03297:790-910
BJ-OC-ctrl-002631:1	OC02_07020:490-590
BJ-OC-ctrl-002632:1	OC09_13033:1530-1760
BJ-OC-ctrl-002636:1	OC09_11288:10-250
BJ-OC-ctrl-002638:1	OC01_01814:170-360
BJ-OC-ctrl-002640:1	OC01_08454:10-60
BJ-OC-ctrl-002659:1	OC01_08284:960-1100
BJ-OC-ctrl-002660:1	OC09_03463:1360-1660
BJ-OC-ctrl-002664:1	OC15_00570:890-950
BJ-OC-ctrl-002666:1	OC09_09513:1600-2910
BJ-OC-ctrl-002676:1	OC13_01027:530-690
BJ-OC-ctrl-002679:1	OC13_01391:1100-1370
BJ-OC-ctrl-002680:1	OC08_00144:410-540
BJ-OC-ctrl-002689:1	OC06_00635:1550-1700
BJ-OC-ctrl-002700:1	OC11_00818:830-1130
BJ-OC-ctrl-002711:1	OC09_14119:100-320
BJ-OC-ctrl-002720:1	OC08_08037:210-290
BJ-OC-ctrl-002724:1	OC09_07284:890-960
BJ-OC-ctrl-002725:1	OC09_13218:200-330
BJ-OC-ctrl-002736:1	OC09_01259:1210-1370
BJ-OC-ctrl-002738:1	OC14_07993:140-370
BJ-OC-ctrl-002746:1	OC05_00750:440-600
BJ-OC-ctrl-002751:1	OC12_03465:290-700
BJ-OC-ctrl-002753:1	OC05_03025:750-810
BJ-OC-ctrl-002755:1	OC13_02870:2140-2330
BJ-OC-ctrl-002790:1	OC14_06504:1070-1180
BJ-OC-ctrl-002866:1	OC02_06027:770-900
BJ-OC-ctrl-002885:1	OC02_03269:10-140
BJ-OC-ctrl-002891:1	OC06_00769:1380-1480
BJ-OC-ctrl-002900:1	OC01_10314:2360-2640
BJ-OC-ctrl-002944:1	OC12_03240:10-400
BJ-OC-ctrl-002958:1	OC10_01730:1250-1370
BJ-OC-ctrl-002979:1	OC09_04806:650-920
BJ-OC-ctrl-002984:1	OC05_00920:10-190
BJ-OC-ctrl-002986:1	OC13_02512:10-450
BJ-OC-ctrl-003012:1	OC10_02231:330-420
BJ-OC-ctrl-003038:1	OC14_08673:600-1070
BJ-OC-ctrl-003041:1	OC09_03014:850-1170
BJ-OC-ctrl-003043:1	OC13_02911:170-380
BJ-OC-ctrl-003050:1	OC09_08481:1560-1610
BJ-OC-ctrl-003052:1	OC06_04311:630-880
BJ-OC-ctrl-003054:1	OC14_10086:160-240
BJ-OC-ctrl-003058:1	OC02_06760:2610-2840
BJ-OC-ctrl-003059:1	OC09_14094:3420-3570
BJ-OC-ctrl-003069:1	OC09_08393:370-520
BJ-OC-ctrl-003084:1	OC08_05122:1130-1520
BJ-OC-ctrl-003097:1	OC05_00640:490-610
BJ-OC-ctrl-003099:1	OC10_02949:670-1160
BJ-OC-ctrl-003103:1	OC01_07706:100-170
BJ-OC-ctrl-003108:1	OC01_09246:70-270
BJ-OC-ctrl-003113:1	OC08_05054:10-270
BJ-OC-ctrl-003116:1	OC01_02965:10-200
BJ-OC-ctrl-003117:1	OC05_01603:720-820
BJ-OC-ctrl-003123:1	OC14_04738:870-990
BJ-OC-ctrl-003138:1	OC12_06550:10-350
BJ-OC-ctrl-003152:1	OC12_04745:240-280
BJ-OC-ctrl-003171:1	OC08_07272:1300-1520
BJ-OC-ctrl-003180:1	OC01_03018:120-310
BJ-OC-ctrl-003193:1	OC06_02306:510-640
BJ-OC-ctrl-003201:1	OC14_04004:220-290
BJ-OC-ctrl-003225:1	OC10_02539:760-1000
BJ-OC-ctrl-003233:1	OC02_04537:1190-1330
BJ-OC-ctrl-003247:1	OC09_02098:10-240
BJ-OC-ctrl-003261:1	OC08_06575:490-780
BJ-OC-ctrl-003272:1	OC06_00791:1360-1420
BJ-OC-ctrl-003280:1	OC11_00364:1020-1200
BJ-OC-ctrl-003281:1	OC10_02911:3620-3790
BJ-OC-ctrl-003289:1	OC01_05706:10-210
BJ-OC-ctrl-003302:1	OC10_00852:430-520
BJ-OC-ctrl-003304:1	OC12_03802:1170-1500
BJ-OC-ctrl-003317:1	OC09_12705:1270-1900
BJ-OC-ctrl-003328:1	OC02_07332:440-580
BJ-OC-ctrl-003378:1	OC12_06749:1510-1640
BJ-OC-ctrl-003399:1	OC08_07109:1090-1220
BJ-OC-ctrl-003407:1	OC14_04625:230-330
BJ-OC-ctrl-003481:1	OC01_03459:870-1130
BJ-OC-ctrl-003483:1	OC09_13026:10-140
BJ-OC-ctrl-003484:1	OC08_00414:710-950
BJ-OC-ctrl-003512:1	OC06_01970:10-220
BJ-OC-ctrl-003531:1	OC08_03129:300-520
BJ-OC-ctrl-003533:1	OC12_03561:2140-2420
BJ-OC-ctrl-003542:1	OC01_01679:10-490
BJ-OC-ctrl-003552:1	OC09_05723:1260-1620
BJ-OC-ctrl-003560:1	OC01_10998:1140-1490
BJ-OC-ctrl-003569:1	OC06_03077:400-630
BJ-OC-ctrl-003573:1	OC06_04008:10-300
BJ-OC-ctrl-003594:1	OC06_06638:530-740
BJ-OC-ctrl-003616:1	OC08_04793:250-420
BJ-OC-ctrl-003622:1	OC01_06622:320-540
BJ-OC-ctrl-003623:1	OC01_05404:10-120
BJ-OC-ctrl-003635:1	OC12_01420:380-500
BJ-OC-ctrl-003678:1	OC01_05751:490-570
BJ-OC-ctrl-003699:1	OC08_01898:2020-2120
BJ-OC-ctrl-003724:1	OC06_06683:10-560
BJ-OC-ctrl-003756:1	OC01_10546:550-920
BJ-OC-ctrl-003797:1	OC01_02904:200-700
BJ-OC-ctrl-003798:1	OC12_00171:1850-2060
BJ-OC-ctrl-003886:1	OC08_00471:220-480
BJ-OC-ctrl-003911:1	OC12_05135:1320-1470
BJ-OC-ctrl-003913:1	OC09_05342:1890-2030
BJ-OC-ctrl-003936:1	OC01_08306:470-720
BJ-OC-ctrl-003940:1	OC02_07683:1720-1850
BJ-OC-ctrl-003948:1	OC14_00782:1060-1710
BJ-OC-ctrl-003985:1	OC14_10005:10-310
BJ-OC-ctrl-004015:1	OC12_02139:1140-1190
BJ-OC-ctrl-004059:1	OC12_07044:1420-1630
BJ-OC-ctrl-004063:1	OC14_03844:240-320
BJ-OC-ctrl-004084:1	OC12_04991:850-1130
BJ-OC-ctrl-004093:1	OC10_04674:870-1160
BJ-OC-ctrl-004099:1	OC10_01348:3490-3590
BJ-OC-ctrl-004105:1	OC05_01726:2130-2190
BJ-OC-ctrl-004112:1	OC08_07098:390-610
BJ-OC-ctrl-004116:1	OC01_10418:10-390
BJ-OC-ctrl-004121:1	OC14_01498:320-540
BJ-OC-ctrl-004123:1	OC01_10085:170-320
BJ-OC-ctrl-004124:1	OC10_04595:2930-3200
BJ-OC-ctrl-004130:1	OC09_04734:2980-3100
BJ-OC-ctrl-004164:1	OC01_06126:10-200
BJ-OC-ctrl-004207:1	OC06_06482:500-780
BJ-OC-ctrl-004210:1	OC10_04284:170-310
BJ-OC-ctrl-004238:1	OC12_04883:10-270
BJ-OC-ctrl-004243:1	OC09_14928:10-320
BJ-OC-ctrl-004253:1	OC09_10949:1250-1360
BJ-OC-ctrl-004258:1	OC09_13810:600-640
BJ-OC-ctrl-004274:1	OC08_04962:800-890
BJ-OC-ctrl-004328:1	OC08_07880:370-570
BJ-OC-ctrl-004383:1	OC09_10653:10-190
BJ-OC-ctrl-004387:1	OC08_03466:10-150
BJ-OC-ctrl-004436:1	OC01_08197:790-1000
BJ-OC-ctrl-004469:1	OC02_03285:2360-2480
BJ-OC-ctrl-004475:1	OC05_03259:570-870
BJ-OC-ctrl-004491:1	OC08_01611:250-350
BJ-OC-ctrl-004525:1	OC12_04957:1650-1910
BJ-OC-ctrl-004532:1	OC14_08281:480-540
BJ-OC-ctrl-004548:1	OC15_00650:340-720
BJ-OC-ctrl-004623:1	OC04_01263:860-1200
BJ-OC-ctrl-004634:1	OC02_07118:10-180
BJ-OC-ctrl-004649:1	OC14_06946:10-220
BJ-OC-ctrl-004652:1	OC01_10910:270-390
BJ-OC-ctrl-004660:1	OC08_07012:320-500
BJ-OC-ctrl-004683:1	OC05_00629:10-260
BJ-OC-ctrl-004690:1	OC09_05015:1070-1200
BJ-OC-ctrl-004697:1	OC06_06551:620-1150
BJ-OC-ctrl-004719:1	OC06_03037:1740-1910
BJ-OC-ctrl-004758:1	OC01_04680:250-390
BJ-OC-ctrl-004775:1	OC10_02661:3430-3530
BJ-OC-ctrl-004803:1	OC12_03737:530-830
BJ-OC-ctrl-004812:1	OC01_04804:260-330
BJ-OC-ctrl-004862:1	OC01_08845:10-80
BJ-OC-ctrl-004864:1	OC13_02196:1480-1720
BJ-OC-ctrl-004885:1	OC12_05091:300-470
BJ-OC-ctrl-004922:1	OC08_03970:910-1220
BJ-OC-ctrl-004928:1	OC08_00242:1040-1180
BJ-OC-ctrl-004944:1	OC11_00356:510-750
BJ-OC-ctrl-004958:1	OC09_00087:740-1190
BJ-OC-ctrl-004968:1	OC09_06739:1160-1260
BJ-OC-ctrl-004972:1	OC06_01527:310-610
BJ-OC-ctrl-004974:1	OC13_00221:130-470
BJ-OC-ctrl-004986:1	OC13_01041:420-500
BJ-OC-ctrl-004994:1	OC01_01656:680-1020
BJ-OC-ctrl-004995:1	OC05_02426:10-110
BJ-OC-ctrl-005000:1	OC14_02792:250-860
BJ-OC-ctrl-005006:1	OC06_04969:1120-1290
BJ-OC-ctrl-005010:1	OC02_00629:350-660
BJ-OC-ctrl-005028:1	OC01_05037:150-430
BJ-OC-ctrl-005040:1	OC01_00131:850-1300
BJ-OC-ctrl-005054:1	OC06_02977:1630-1800
BJ-OC-ctrl-005064:1	OC09_07765:10-100
BJ-OC-ctrl-005072:1	OC09_11382:2500-2710
BJ-OC-ctrl-005086:1	OC12_04052:120-770
BJ-OC-ctrl-005092:1	OC01_08795:390-490
BJ-OC-ctrl-005101:1	OC02_07153:10-300
BJ-OC-ctrl-005110:1	OC06_02404:670-1070
BJ-OC-ctrl-005127:1	OC10_02165:10-90
BJ-OC-ctrl-005149:1	OC09_07601:130-370
BJ-OC-ctrl-005158:1	OC14_07800:580-1180
BJ-OC-ctrl-005166:1	OC01_08289:10-320
BJ-OC-ctrl-005168:1	OC02_04729:1400-1570
BJ-OC-ctrl-005174:1	OC06_06215:200-340
BJ-OC-ctrl-005177:1	OC01_06208:490-650
BJ-OC-ctrl-005179:1	OC15_00586:470-580
BJ-OC-ctrl-005227:1	OC06_04273:280-660
BJ-OC-ctrl-005235:1	OC06_04127:350-520
BJ-OC-ctrl-005236:1	OC01_07080:10-130
BJ-OC-ctrl-005237:1	OC04_01135:1400-1750
BJ-OC-ctrl-005246:1	OC01_06094:460-820
BJ-OC-ctrl-005253:1	OC09_07328:1820-2080
BJ-OC-ctrl-005275:1	OC01_06714:530-600
BJ-OC-ctrl-005276:1	OC14_08208:3400-3520
BJ-OC-ctrl-005282:1	OC12_05283:1400-1500
BJ-OC-ctrl-005286:1	OC09_10523:150-280
BJ-OC-ctrl-005305:1	OC01_08630:280-390
BJ-OC-ctrl-005323:1	OC01_02297:1230-1470
BJ-OC-ctrl-005326:1	OC01_01846:420-550
BJ-OC-ctrl-005330:1	OC01_06956:1240-1490
BJ-OC-ctrl-005338:1	OC01_01889:10-250
BJ-OC-ctrl-005352:1	OC08_01068:600-950
BJ-OC-ctrl-005370:1	OC14_08004:360-430
BJ-OC-ctrl-005379:1	OC06_06086:620-710
BJ-OC-ctrl-005383:1	OC08_03498:840-1000
BJ-OC-ctrl-005395:1	OC06_04993:360-510
BJ-OC-ctrl-005396:1	OC01_02779:1230-1350
BJ-OC-ctrl-005397:1	OC01_06535:1640-1880
BJ-OC-ctrl-005400:1	OC14_10758:130-230
BJ-OC-ctrl-005406:1	OC01_00724:640-830
BJ-OC-ctrl-005436:1	OC12_01205:10-300
BJ-OC-ctrl-005437:1	OC01_10876:930-1030
BJ-OC-ctrl-005438:1	OC06_01296:1080-1200
BJ-OC-ctrl-005460:1	OC08_06376:1290-1330
BJ-OC-ctrl-005464:1	OC06_02142:100-200
BJ-OC-ctrl-005473:1	OC01_02024:10-260
BJ-OC-ctrl-005476:1	OC06_00442:1070-1280
BJ-OC-ctrl-005479:1	OC06_00348:10-340
BJ-OC-ctrl-005486:1	OC13_01210:10-160
BJ-OC-ctrl-005496:1	OC01_06668:10-270
BJ-OC-ctrl-005518:1	OC14_02743:650-1690
BJ-OC-ctrl-005551:1	OC01_05442:440-770
BJ-OC-ctrl-005552:1	OC08_03839:730-980
BJ-OC-ctrl-005616:1	OC09_09244:260-520
BJ-OC-ctrl-005637:1	OC12_01748:310-530
BJ-OC-ctrl-005643:1	OC13_01271:680-900
BJ-OC-ctrl-005648:1	OC09_05875:630-810
BJ-OC-ctrl-005676:1	OC09_10471:290-700
BJ-OC-ctrl-005677:1	OC01_10403:360-600
BJ-OC-ctrl-005686:1	OC14_08996:410-540
BJ-OC-ctrl-005687:1	OC12_05338:10-100
BJ-OC-ctrl-005690:1	OC09_06415:10-440
BJ-OC-ctrl-005691:1	OC06_00319:60-220
BJ-OC-ctrl-005698:1	OC06_05285:1520-1600
BJ-OC-ctrl-005703:1	OC13_00736:1380-1630
BJ-OC-ctrl-005709:1	OC01_07241:400-510
BJ-OC-ctrl-005714:1	OC06_04468:150-210
BJ-OC-ctrl-005726:1	OC02_02651:2150-2460
BJ-OC-ctrl-005728:1	OC01_10217:10-300
BJ-OC-ctrl-005731:1	OC14_07958:890-1210
BJ-OC-ctrl-005736:1	OC01_06364:10-180
BJ-OC-ctrl-005747:1	OC12_05239:970-1100
BJ-OC-ctrl-005749:1	OC13_02175:420-630
BJ-OC-ctrl-005769:1	OC12_06305:460-980
