BJ-OC-bqnc-000001:1	OC01_00008:300-430
BJ-OC-bqnc-000242:1	OC09_00038:320-740
BJ-OC-bqnc-000243:1	OC09_00040:300-390
BJ-OC-bqnc-000244:1	OC09_00043:230-350
BJ-OC-bqnc-000245:1	OC09_00045:250-330
BJ-OC-bqnc-000246:1	OC09_00046:10-200
BJ-OC-bqnc-000247:1	OC09_00046:210-330
BJ-OC-bqnc-000248:1	OC09_00046:340-420
BJ-OC-bqnc-000249:1	OC09_00059:970-1110
BJ-OC-bqnc-000250:1	OC09_00064:80-300
BJ-OC-bqnc-000251:1	OC09_00065:160-320
BJ-OC-bqnc-000252:1	OC09_00079:2790-2830
BJ-OC-bqnc-000253:1	OC09_01000:880-1030
BJ-OC-bqnc-000254:1	OC09_01029:2460-2580
BJ-OC-bqnc-000255:1	OC09_01045:2190-2340
BJ-OC-bqnc-000256:1	OC09_05000:590-700
BJ-OC-bqnc-000257:1	OC09_05002:1160-1270
BJ-OC-bqnc-000258:1	OC09_05006:3360-3450
BJ-OC-bqnc-000259:1	OC09_05014:1630-1680
BJ-OC-bqnc-000260:1	OC09_05026:890-1040
BJ-OC-bqnc-000261:1	OC09_05029:750-830
BJ-OC-bqnc-000262:1	OC09_05037:1550-2000
BJ-OC-bqnc-000263:1	OC09_05076:1750-1810
BJ-OC-bqnc-000264:1	OC10_00008:330-520
BJ-OC-bqnc-000265:1	OC10_00027:580-670
BJ-OC-bqnc-000266:1	OC10_00027:680-800
BJ-OC-bqnc-000267:1	OC10_00027:810-870
BJ-OC-bqnc-000268:1	OC10_00028:2640-3000
BJ-OC-bqnc-000269:1	OC10_00030:1060-1380
BJ-OC-bqnc-000270:1	OC10_00032:460-480
BJ-OC-bqnc-000271:1	OC10_00032:490-530
BJ-OC-bqnc-000272:1	OC10_00032:1200-1360
BJ-OC-bqnc-000273:1	OC10_00033:570-950
BJ-OC-bqnc-000274:1	OC10_00035:770-880
BJ-OC-bqnc-000275:1	OC10_00036:570-730
BJ-OC-bqnc-000276:1	OC10_00037:1290-1360
BJ-OC-bqnc-000277:1	OC10_00042:790-910
BJ-OC-bqnc-000278:1	OC10_00042:1100-1300
BJ-OC-bqnc-000279:1	OC10_00045:2120-2180
BJ-OC-bqnc-000280:1	OC10_03000:370-690
BJ-OC-bqnc-000281:1	OC10_03007:360-420
BJ-OC-bqnc-000282:1	OC10_03007:1460-1660
BJ-OC-bqnc-000283:1	OC10_03014:1530-1660
BJ-OC-bqnc-000284:1	OC10_03015:190-220
BJ-OC-bqnc-000285:1	OC10_03021:900-1260
BJ-OC-bqnc-000286:1	OC10_03022:510-840
BJ-OC-bqnc-000287:1	OC10_03022:1080-1290
BJ-OC-bqnc-000288:1	OC10_03026:1920-2070
BJ-OC-bqnc-000289:1	OC10_03027:240-510
BJ-OC-bqnc-000290:1	OC10_03028:10-320
BJ-OC-bqnc-000291:1	OC10_03028:540-610
BJ-OC-bqnc-000292:1	OC10_03029:1590-1720
BJ-OC-bqnc-000293:1	OC10_03031:580-790
BJ-OC-bqnc-000294:1	OC10_03031:2310-2370
BJ-OC-bqnc-000295:1	OC10_03033:200-340
BJ-OC-bqnc-000296:1	OC10_03035:680-770
BJ-OC-bqnc-000297:1	OC10_03042:10-140
BJ-OC-bqnc-000298:1	OC10_03042:1910-2250
BJ-OC-bqnc-000299:1	OC10_03042:2730-2870
BJ-OC-bqnc-000300:1	OC10_03043:1080-1230
BJ-OC-bqnc-000301:1	OC10_03044:1580-1730
BJ-OC-bqnc-000302:1	OC10_03049:850-910
BJ-OC-bqnc-000303:1	OC10_03049:1650-1970
BJ-OC-bqnc-000304:1	OC11_00016:540-590
BJ-OC-bqnc-000305:1	OC11_00018:660-740
BJ-OC-bqnc-000306:1	OC11_00018:1250-1310
BJ-OC-bqnc-000307:1	OC11_00018:1320-1400
BJ-OC-bqnc-000308:1	OC11_00018:2010-2170
BJ-OC-bqnc-000309:1	OC11_00020:330-420
BJ-OC-bqnc-000310:1	OC11_00020:1050-1180
BJ-OC-bqnc-000311:1	OC11_00023:440-530
BJ-OC-bqnc-000312:1	OC11_00032:420-470
BJ-OC-bqnc-000313:1	OC11_00032:1120-1220
BJ-OC-bqnc-000314:1	OC11_00043:1110-1200
BJ-OC-bqnc-000315:1	OC11_01289:40-120
BJ-OC-bqnc-000316:1	OC11_01295:240-590
BJ-OC-bqnc-000317:1	OC11_01297:900-990
BJ-OC-bqnc-000318:1	OC11_01297:1000-1250
BJ-OC-bqnc-000319:1	OC11_01298:900-980
BJ-OC-bqnc-000320:1	OC11_01309:10-190
BJ-OC-bqnc-000321:1	OC11_01309:200-270
BJ-OC-bqnc-000322:1	OC11_01335:710-940
BJ-OC-bqnc-000323:1	OC11_01337:120-220
BJ-OC-bqnc-000324:1	OC11_01339:2230-2390
BJ-OC-bqnc-000325:1	OC11_01349:480-620
BJ-OC-bqnc-000326:1	OC12_00022:800-820
BJ-OC-bqnc-000327:1	OC12_00031:10-90
BJ-OC-bqnc-000328:1	OC12_00032:330-490
BJ-OC-bqnc-000329:1	OC12_00059:940-980
BJ-OC-bqnc-000330:1	OC12_00063:10-330
BJ-OC-bqnc-000331:1	OC12_04002:1740-2070
BJ-OC-bqnc-000332:1	OC13_00019:740-820
BJ-OC-bqnc-000333:1	OC13_00038:980-1560
BJ-OC-bqnc-000334:1	OC13_00043:370-420
BJ-OC-bqnc-000335:1	OC13_00050:320-410
BJ-OC-bqnc-000336:1	OC13_00053:770-880
BJ-OC-bqnc-000337:1	OC13_00063:430-610
BJ-OC-bqnc-000338:1	OC13_03009:290-380
BJ-OC-bqnc-000339:1	OC13_03009:390-460
BJ-OC-bqnc-000340:1	OC13_03009:590-680
BJ-OC-bqnc-000341:1	OC13_03019:260-350
BJ-OC-bqnc-000342:1	OC13_03024:1130-1610
BJ-OC-bqnc-000343:1	OC13_03037:460-530
BJ-OC-bqnc-000344:1	OC13_03073:260-540
BJ-OC-bqnc-000345:1	OC13_03078:10-210
BJ-OC-bqnc-000346:1	OC13_03083:610-670
BJ-OC-bqnc-000347:1	OC13_03095:210-250
BJ-OC-bqnc-000348:1	OC13_03095:330-560
BJ-OC-bqnc-000349:1	OC13_03096:480-540
BJ-OC-bqnc-000350:1	OC13_03102:1200-1340
BJ-OC-bqnc-000351:1	OC14_00082:1690-1740
BJ-OC-bqnc-000352:1	OC14_00083:3620-3700
BJ-OC-bqnc-000353:1	OC14_00088:10-230
BJ-OC-bqnc-000354:1	OC14_00090:900-1010
BJ-OC-bqnc-000355:1	OC14_00092:340-420
BJ-OC-bqnc-000356:1	OC14_00103:160-350
BJ-OC-bqnc-000357:1	OC14_01739:1100-1180
BJ-OC-bqnc-000358:1	OC14_01739:1190-1240
BJ-OC-bqnc-000359:1	OC14_01745:160-260
BJ-OC-bqnc-000360:1	OC14_01747:510-680
BJ-OC-bqnc-000361:1	OC14_01760:360-400
BJ-OC-bqnc-000362:1	OC14_01775:570-640
BJ-OC-bqnc-000363:1	OC14_05001:210-270
BJ-OC-bqnc-000364:1	OC14_05015:110-170
BJ-OC-bqnc-000365:1	OC14_05015:180-250
BJ-OC-bqnc-000366:1	OC14_05016:510-700
BJ-OC-bqnc-000367:1	OC14_05016:710-720
BJ-OC-bqnc-000368:1	OC14_05041:2240-2390
BJ-OC-bqnc-000369:1	OC14_05041:2720-2810
BJ-OC-bqnc-000370:1	OC14_05055:550-590
BJ-OC-bqnc-000371:1	OC14_05089:1340-1590
BJ-OC-bqnc-000372:1	OC14_05098:390-440
BJ-OC-bqnc-000373:1	OC14_05099:10-60
BJ-OC-bqnc-000374:1	OC14_05102:290-390
BJ-OC-bqnc-000375:1	OC14_05108:810-980
BJ-OC-bqnc-000376:1	OC14_05117:200-560
BJ-OC-bqnc-000377:1	OC14_05120:10-110
BJ-OC-bqnc-000378:1	OC15_00016:1300-1360
BJ-OC-bqnc-000379:1	OC15_00016:1370-1440
